濛	水草丶
辔	乛乛口口
霈	一丶水一
旆	丶一丿一
醅	一丨丶一
锫	金丶一
衃	未知
喷	口十一
盆	丿丶丨乛
湓	水丿丶乛
朋	月月月
碰	一丿丶丿
彭	士丿丿
鹏	月丿丿乛
捧	手一一
砰	一丿一丶
蓬	草丿乛
篷	丿一丿乛
棚	木月月月
膨	月士口
澎	水士口
怦	丶丶一丶
嘭	口士口
烹	丶一丶丶
抨	手一丶
芃	草丿乛
硼	一丿月月
蟛	丨乛士
堋	土月月
椪	未知
弸	未知
淜	未知
皮	乛丿乛丶
批	手一乛
屁	乛一一乛
疲	丶一乛丿
匹	一丿乛乛
劈	乛一乛丿
披	手乛丿
脾	月丿丨乛
啤	口丿丨乛
僻	人乛一丿
霹	一丶乛一
痞	丶一一丿
譬	乛一丶一
噼	口乛一丿
琵	一一一乛
癖	丶一乛一
媲	乛丿丿丨
丕	一丿一一
毗	丨乛一乛
坯	土一丿
纰	乛乛一乛
睥	丨乛丿丨
邳	一丿乛丨
砒	一丿一乛
貔	丿丶丿丨
枇	木一乛丿
罴	丨乛土
圮	土乛一
鼙	士丿丨
蚍	丨乛一乛
铍	金乛丿
郫	丿丨乛丨
仳	人一乛丿
伾	未知
蜱	丨乛丿丨
埤	土丿丨
嚭	未知
陴	乛丨丿丨
淠	水丨乛一
甓	乛一一乛
狉	未知
澼	未知
鲏	丿乛乛丿
䴙	未知
苉	未知
片	丿丨一乛
偏	人丶乛一
骗	乛乛丶乛
篇	丿一丶乛
翩	丶乛乛丶
骈	乛乛丶丿
蹁	口丨丶乛
谝	丶乛丶乛
胼	月丶丿一
犏	丿一丶乛
楩	未知
㛹	未知
飘	一丨丿乛
漂	水一丨乛
票	一丨一一
瞟	丨乛一丨
嫖	乛丿一丨
瓢	一丨丿丿
缥	乛乛一丨
剽	一丨丨丨
朴	木丨丶丶
殍	一丿丿丶
嘌	口一丨乛
螵	丨乛一丨
蔈	未知
薸	未知
撇	手丶丿
瞥	丶丿丨乛
苤	草一丿
氕	丿一丿丿
品	口口口口
拼	手丶丿
贫	丿丶贝
频	丨一一丿
聘	一丨丨乛
嫔	乛丿丶丶
颦	丨一丿丨
姘	乛丿丶丿
牝	丿一丿乛
玭	未知
平	一丶丿一
凭	人丿丿乛
评	丶乛一丶
瓶	丶丿一乛
萍	草水一
苹	草一丶
坪	土一丶
乒	丿丨丿丿
娉	乛丿丨乛
枰	木一丶丿
鲆	丿乛一丶
俜	人丨乛一
泙	未知
洴	未知
帡	未知
荓	未知
蚲	未知
涄	未知
玶	未知
破	一丿乛丿
婆	水丿乛丿
颇	乛丿一丿
坡	土乛丿
魄	丿丨丿丨
泼	水乛丿丶
珀	一一丿丨
叵	一口乛乛
鄱	丿丶乛丨
粕	丶丿丿丨
笸	丿一一口
皤	丿丨丿丶
钋	金丨丶
钷	金一口
桲	未知
䥽	未知
酦	未知
剖	丶一丨丨
抔	手一丿
裒	丶一丿丨
掊	手丶一
普	丶丿日
扑	手丨丶
铺	金一丨
仆	人丨丶丶
谱	丶乛丶丿
葡	草丿乛
菩	草丶一
噗	口丨丨丶
浦	水一丨乛
蒲	草水一
濮	水人丨丨
璞	一一丨丨
圃	丨乛一丨
溥	水一丨乛
匍	丿乛一丨
莆	草一丨
蹼	口丨丨丨
氆	丿一丶丿
潽	未知
酺	未知
镨	金丶丿
镤	金丨丨
蒱	未知
墣	未知
穙	未知
起	土乛一
气	丿一一乛
其	一丨丿丶
七	一乛乛
器	口丨一丿
骑	乛乛一丿
齐	丶一丿丨
弃	丶一一丿
妻	一乛乛丿
企	人丨一丨
启	丶乛口口
旗	丶一丿一
欺	一丨丿乛
岂	丨乛乛一
汽	水丿一一
棋	木一丨丨
琪	一一一丨
泣	水丶一丶
凄	丶一一乛
漆	水木人丨
戚	一丿丨一
契	一一一丿
乞	丿一乛乛
祈	丶乛丿丿
麒	丶一一丨
歧	丨一十
琦	一一一丿
祁	丶乛乛丨
绮	乛乛一丿
栖	木一丨乛
淇	水一丨丨
崎	丨乛一丿
砌	一丿一乛
蹊	口丨丿丶
祺	丶乛一丨
迄	丿一丶乛
杞	木乛一乛
岐	丨乛十
脐	月丶一丿
颀	丿丿一丿
沏	水一乛乛
跂	口丨十
憩	丿一丶乛
萋	草一乛
嘁	口一丿乛
耆	十日
芑	草乛一
蜞	丨乛一丨
讫	丶乛丿一
祇	未知
鳍	丿乛十
亓	一一丿丨
葺	草口一
柒	水一木木
綦	一丨乛乛
蕲	草丶丿
畦	丨乛土
芪	草丿乛
圻	土丿丿
萁	草一丨
骐	乛乛一丨
欹	一丿丿乛
碛	一丿一一
汔	水丿一乛
锜	金一丿
槭	木一丿乛
蛴	丨乛丶一
屺	丨乛乛一
玘	未知
桤	木丨乛丨
埼	未知
棨	未知
郪	未知
磜	未知
鲯	丿乛一丨
愭	未知
碶	未知
俟	人乛丶丿
婍	未知
洓	未知
䓫	未知
恰	丶丶人一
拤	未知
掐	手丿乛
洽	水人一口
葜	草一一
袷	丶乛人一
髂	丨乛丶丶
前	丶丿月丨
钱	金一一
千	丿一丨丨
潜	水一一丿
牵	一丿丿一
倩	人一一丨
浅	水一一乛
签	丿一人一
歉	丶丿丿乛
欠	丿乛人人
乾	十丿一
谦	丶乛丶丿
迁	丿一丶乛
遣	丨乛丶乛
茜	草一丨
芊	草丿一
嵌	丨乛一丨
虔	丨一丶一
铅	金丿乛
谴	丶乛丨乛
钳	金一丨
黔	丨乛人丶
堑	一乛土
骞	丶丶乛乛
佥	人一丶丶
仟	人丿一丨
缱	乛乛丨乛
纤	乛乛丿一
阡	乛丨丿一
钎	金丿一
钤	金人丶
掮	手丶乛
芡	草丿乛
荨	草乛一
扦	手丿一
愆	丿丿丶乛
悭	丶丶丨丨
搴	丶丶手
慊	丶丶丶丿
褰	丶丶丶一
汧	未知
肷	月丿乛人
蒨	未知
靬	未知
椠	一乛木木
杄	未知
鹐	丿乛丿乛
岍	丨乛一一
圲	未知
伣	未知
墘	未知
磏	未知
枪	木人乛乛
墙	土十
抢	手人乛
腔	月丶丶乛
呛	口人乛乛
跄	口丨人乛
蔷	草十
锵	金丶一
羌	丶丿一一
戕	乛丨一乛
戗	人乛一乛
襁	丶乛乛一
嫱	乛丿十
樯	木十丶
镪	金乛一
炝	丶丿人乛
羟	丶丿乛丶
蜣	丨乛丶丿
玱	未知
锖	金一一
蔃	未知
巧	一丨一乛
悄	丶丶丨丶
瞧	丨乛人丶
敲	丶一丨一
桥	木丿一丿
乔	丿一丿丨
俏	人丨丶丿
翘	一乛乛丶
窍	丶丶一丨
鞘	一丨丨丶
憔	丶丶人丶
峭	丨乛丨丶
跷	口丨一乛
侨	人丿一丿
樵	木人丶丶
撬	手丿一
锹	金丿一
谯	丶乛人丶
橇	木丿一一
诮	丶乛丨丶
荞	草丿一
愀	丶丶丿一
劁	人丶丨丨
硗	一丿一乛
鞒	一丨丿一
硚	未知
缲	乛乛口口
雀	丨丿人丶
且	丨乛一一
切	一乛乛丿
窃	丶丶一乛
怯	丶丶土
妾	丶一乛丿
惬	丶丶一一
锲	金一一
挈	一一手
箧	丿一一一
郄	丿丶乛丨
亲	丶一木木
秦	一一丿一
琴	一一人丶
侵	人乛一一
勤	一丨乛丿
寝	丶丶丶一
擒	手人丶
钦	金丿乛
芹	草丿丿
沁	水丶乛丶
禽	人丶一丿
覃	一丨日
噙	口人丶一
衾	人丶丶一
揿	手金
芩	草人丶
溱	水一一一
吣	口丶乛丶
嗪	口一一一
锓	金乛一
檎	木人丶一
骎	未知
慬	丶丶一丨
嵚	丨乛金
请	丶乛一一
轻	一乛乛丶
清	水一一丨
青	一一月月
情	丶丶一一
庆	丶一一丿
晴	日一一
倾	人一乛一
卿	丿乛乛一
擎	草手
顷	一乛一丿
蜻	丨乛一一
箐	丿一一一
氢	丿一乛丶
罄	士丿一
磬	士一丿
綮	丶乛乛乛
氰	丿一一一
黥	丨乛丶一
檠	草木木
鲭	丿乛一一
苘	草丨乛
圊	丨乛一一
碃	未知
庼	未知
勍	未知
穷	丶丶乛丿
琼	一一丶一
穹	丶丶乛一
茕	草乛一
邛	一丨乛丨
筇	丿一一丨
蛩	一丨丨乛
銎	一丨金
䓖	未知
求	一丨丶一
球	一一一丨
秋	丿一丶丿
丘	丿丨一丨
邱	丿丨乛丨
囚	丨乛人人
裘	一丨丶一
酋	丶丿一丨
虬	丨乛乛乛
糗	丶丿丿丨
鳅	丿乛丿一
蚯	丨乛丿丨
俅	人一丨丶
泅	水丨乛一
遒	丶丿丶乛
逑	一丨丶乛
楸	木丿一丨
犰	丿乛丿乛
萩	未知
蝤	丨乛丶丿
璆	未知
巯	乛丶丶一
赇	贝一丨
鹙	未知
鞧	未知
鼽	丿丨丿乛
訄	未知
去	土乛丶
取	一丨乛丶
趣	土一丨
曲	丨乛一丨
屈	乛一乛丨
躯	丿丨一丿
驱	乛乛一丿
娶	一丨乛丿
趋	土丿乛
渠	水一木木
觑	丨一丨乛
瞿	丨乛人丶
岖	丨乛一丿
蛐	丨乛丨乛
蛆	丨乛丨乛
衢	丿丿丨乛
祛	丶乛土
黢	丨乛乛丶
癯	丶一丨乛
阒	丶丨丨乛
龋	丨一丿丨
蕖	草水一
蘧	草丨一
朐	月丿乛口
璩	一一丨一
劬	丿乛乛丿
磲	一丿水一
诎	丶乛乛丨
蠼	丨乛丨乛
袪	丶乛土
氍	丨乛丿一
鸲	丿乛丿乛
麹	未知
胠	未知
灈	未知
鼩	丿丨丿乛
竘	未知
戌	一丿一一
㭕	未知
䓛	未知
坥	未知
全	人一一丨
权	木乛丶丶
拳	丶丿手
劝	乛丶乛丿
泉	丿丨水水
犬	一丿丶丶
券	丶丿乛丿
蜷	丨乛丶丿
痊	丶一人一
诠	丶乛人一
荃	草人一
颧	草一丿
绻	乛乛丶丿
铨	金人一
筌	丿一人一
鬈	一丨丶丿
醛	一丨草
悛	丶丶乛丶
佺	未知
畎	丨乛一丿
棬	未知
鳈	丿乛丿丨
辁	一乛人一
婘	未知
瑔	未知
却	土乛丨
确	一丿丿乛
缺	丿一乛一
瘸	丶一乛丿
鹊	一丨丿乛
阙	丶丨丶丿
阕	丶丨乛丶
榷	木丶乛丿
炔	丶丿乛一
悫	士丶乛
碏	未知
埆	未知
群	乛一丶丿
裙	丶乛乛一
逡	乛丶丶乛
囷	未知
然	丿乛丶丶
染	水乛木木
燃	丶丿丿乛
冉	丨乛丨一
髯	一丨丨乛
苒	草丨乛
蚺	丨乛丨乛
䎃	未知
让	丶乛丨一
嚷	口丶一口
壤	土丶一
攘	手丶一
瓤	丶一丿丿
禳	丶乛丶一
穰	丿一丶一
瀼	未知
蘘	未知
儴	未知
绕	乛乛一乛
扰	手一丿
饶	丿乛一乛
娆	乛丿一乛
桡	木一乛丿
荛	草一乛
热	手丶丶
惹	草丶乛
人	人人
任	人丿一丨
认	丶乛人人
忍	乛丿丶乛
仁	人一一一
刃	乛丿丶丶
韧	一一乛丿
壬	丿一丨一
饪	丿乛丿一
仞	人乛丿丶
纫	乛乛乛丿
稔	丿一人丶
荏	草人丿
妊	乛丿丿一
衽	丶乛丿一
轫	一乛乛丿
纴	未知
讱	丶乛乛丿
葚	草一丨
仍	人乛丿丿
扔	手乛丿
日	日日
驲	未知
容	丶丶丿丶
荣	草木木
融	一丨丨乛
蓉	草丶丶
绒	乛乛一一
溶	水丶丶乛
戎	一一丿乛
榕	木丶丶乛
茸	草一丨
熔	丶丿丶丶
冗	丶乛丿乛
嵘	丨乛草
镕	金丶丶
蝾	丨乛草
狨	丿乛一一
瑢	未知
肉	丨乛人人
柔	乛丶木木
揉	手乛丶
蹂	口丨乛丶
糅	丶丿乛丶
鞣	一丨乛丶
如	乛丿口口
入	丿丶丶
辱	一丿一丨
乳	丿丶乛乛
儒	人一丶乛
茹	草乛丿
汝	水乛丿一
蠕	丨乛一丶
孺	乛丨一丶
褥	丶乛一丿
嚅	口一丶乛
濡	水一丶乛
缛	乛乛一丿
襦	丶乛一丶
溽	水一丿一
蓐	草一丿
洳	水乛丿一
薷	草一丶
颥	一丶一丿
嬬	未知
铷	金乛丿
软	一乛丿乛
阮	乛丨一一
堧	未知
瓀	未知
媆	未知
瑞	一一丨乛
锐	金丶丿
蕊	草丶乛
睿	丨一丨乛
芮	草丨乛
蚋	丨乛丨乛
蕤	草一丿
枘	木丨乛丿
汭	未知
润	水丶丨乛
闰	丶丨一一
若	草一丿
弱	乛一乛一
偌	人草一
箬	丿一草
婼	乛丿草
爇	草土
蒻	草乛一
鄀	草乛丨
萨	草乛丨
撒	手一丨
洒	水一丨乛
飒	丶一丿乛
仨	人一一一
卅	一丿丨丨
靸	一丨丿乛
挲	水丨手
潵	水一丨丨
脎	月丿丶木
赛	丶丶贝
塞	丶丶土
腮	月丨乛一
噻	口丶丶乛
鳃	丿乛丨乛
三	一一一一
散	一丨丿一
伞	人丶丿一
叁	乛丶一丿
馓	丿乛一丨
毵	乛丶丿一
糁	丶丿乛丶
丧	十乛丿
桑	乛丶木木
嗓	口乛丶乛
搡	手乛丶
颡	乛丶一丿
磉	一丿乛丶
扫	手乛一
骚	乛乛乛丶
嫂	乛丿丿丨
搔	手乛丶
臊	丿丶丶丶
瘙	丶一乛丶
缫	乛乛乛乛
埽	土乛一
溞	未知
色	丿乛乛丨
瑟	一一丶乛
涩	水乛丿丶
啬	十丨乛
穑	丿一十
铯	金丿乛
璱	未知
森	木木木
僧	人丶丿丨
啥	口人一一
傻	人丿丨乛
杀	丿丶木木
莎	草水丨
煞	丿乛丶丶
纱	乛乛丨丿
沙	水丨丿丶
厦	一丿一丿
霎	一丶丶一
砂	一丿丨丿
鲨	水丨丿乛
裟	水丿丶一
铩	金丿丶
嗄	口一丿丨
歃	丿一丿乛
痧	丶一水丨
唼	口丶一丶
杉	木丿丿丿
晒	日一丨
筛	丿一丨丿
山	丨乛丨丨
删	丿乛丨丨
闪	丶丨人人
善	丶丿口口
扇	丶乛乛丶
衫	丶乛丿丿
珊	一一丿乛
擅	手丶一
姗	乛丿丿乛
讪	丶乛丨乛
陕	乛丨一丶
煽	丶丿丶乛
膳	月丶丿一
跚	口丨丿乛
潸	水木一月
缮	乛乛丶丿
汕	水丨乛丨
赡	贝丿乛
鳝	丿乛丶丿
舢	丿丿丨乛
苫	草丨一
嬗	乛丿丶一
鄯	丶丿乛丨
骟	乛乛丶乛
蟮	丨乛丶丿
墡	未知
剡	丶丿丨丨
疝	丶一丨乛
芟	草丿乛
埏	土丿丨
钐	金丿丿
嶦	未知
晱	未知
栅	木丿乛丿
烻	未知
上	丨一一一
伤	人丿一乛
商	丶一丨乛
尚	丨丶丨乛
赏	丨丶贝
晌	日丿丨
殇	一丿丿一
觞	丿乛丿一
熵	丶丿丶一
墒	土丶一
绱	乛乛丨丶
垧	土丿丨
少	丨丿丶丿
烧	丶丿一乛
稍	丿一丨丶
绍	乛乛乛丿
哨	口丨丶丿
邵	乛丿乛丨
勺	丿乛丶丶
梢	木丨丶丿
韶	丶一乛丿
劭	乛丿乛丿
捎	手丨丶
芍	草丿乛
苕	草乛丿
艄	丿丿丨丶
筲	丿一丨丶
潲	水丿一丨
蛸	丨乛丨丶
睄	未知
召	乛丿口口
柖	未知
玿	未知
社	丶乛土
射	丿丨一丨
设	丶乛丿乛
舍	人一一丨
蛇	丨乛丶丶
舌	丿一口口
涉	水丨一丨
摄	手一丨
奢	一丿十
慑	丶丶一丨
赦	土丿一
折	手丿丿
佘	人一一丨
麝	丶一丿丨
赊	贝人一
畲	人一丨乛
猞	丿乛人一
歙	人一丿乛
滠	水一丨丨
厍	一丿一乛
拾	手人一
谁	丶乛人丶
神	丶乛丨乛
深	水丶乛丿
身	丿丨乛一
甚	一丨丿丶
什	人十十
伸	人丨乛一
沈	水丶乛丿
审	丶丶丨乛
申	丨乛一一
慎	丶丶十
呻	口丨乛一
渗	水乛丶一
婶	乛丿丶丶
绅	乛乛丨乛
肾	丨丨月月
莘	草丶一
珅	一一丨乛
蜃	一丿丨乛
哂	口一丨乛
娠	乛丿一丿
燊	未知
瘆	未知
椹	木一丨丨
砷	一丿丨乛
诜	丶乛丿一
甡	未知
谂	丶乛人丶
矧	丿一乛一
胂	月丨乛一
侁	未知
瞫	未知
鲹	丿乛乛丶
屾	未知
生	丿一一丨
声	士乛丨
圣	乛丶土
胜	月丿一一
升	丿一丿丨
省	丨丿丨乛
剩	丿一丨丨
绳	乛乛口丨
牲	丿一丿一
笙	丿一丿一
甥	丿一丨乛
昇	未知
嵊	丨乛丿一
眚	丿一丨乛
陞	未知
是	日一丨
时	日一丨
事	一丨乛一
实	丶丶丶丶
十	十十
师	丨丿一丨
使	人一丨乛
屎	乛一丶丿
世	一丨丨一
始	乛丿乛丶
失	丿一一丿
士	士士
湿	水日丨
识	丶乛口丿
视	丶乛丨乛
势	手乛丿
市	丶一丨乛
室	丶丶一乛
式	一一丨一
示	一一丨丿
试	丶乛一一
史	丨乛一丿
食	人丶乛一
施	丶一丿一
适	丿一丶乛
释	丿丶乛丶
诗	丶乛土
尸	乛一丿丿
氏	丿乛一乛
侍	人土一
饰	丿乛丿一
誓	手丶一
驶	乛乛丨乛
逝	手丶乛
狮	丿乛丨丿
噬	口丿一丶
仕	人士
矢	丿一一丿
拭	手一一
嗜	口十一
似	人乛丶人
蚀	丿乛丨乛
恃	丶丶土
柿	木丶一丨
弑	丿丶一一
轼	一乛一一
虱	乛丿丨乛
谥	丶乛丶丿
舐	丿一丿乛
媞	未知
豕	一丿乛丿
莳	草日
筮	丿一一丨
蓍	草十
螫	土丨乛
炻	丶丿一丿
鲥	丿乛日
奭	未知
湜	水日一
埘	土日
酾	一丨一丨
祏	未知
栻	未知
贳	一丨贝
铈	金丶一
鲺	丿乛乛丿
鼫	未知
邿	土乛丨
鸤	乛一丿乛
嘘	口丨一乛
峙	丨乛土
殖	一丿十
浉	未知
襫	未知
䏡	未知
䴓	未知
手	手手
受	丿丶乛丶
收	乛丨丿一
首	丶丿丿丨
守	丶丶一丨
熟	丶一丶丶
兽	丶丿一口
授	手丿丶
瘦	丶一丿丨
售	人丶口口
寿	一一一丨
狩	丿乛丶丶
绶	乛乛丿丶
艏	丿丿丶丿
书	乛乛丨丶
数	丶丿丿一
术	木丶丶
树	木乛丶一
属	乛一丿丨
叔	丨一乛丶
束	一丨乛一
舒	人一乛丶
输	一乛人一
述	木丶丶乛
殊	一丿丿一
鼠	丿丨乛丶
疏	乛丨丶一
淑	水丨一一
竖	丨丨丶一
署	丨乛十
墅	丨乛土
梳	木丶一乛
蜀	丨乛丿乛
恕	乛丿丶乛
倏	人丨丿乛
暑	日十
庶	丶一丶丶
漱	水一丨乛
赎	贝十
姝	乛丿丿一
枢	木一丿丶
蔬	草乛丨
薯	草丨乛
曙	日丨乛
抒	手乛丶
孰	丶一丿乛
戍	一丿丶丶
塾	丶一土
纾	乛乛乛丶
澍	水士一
黍	丿一人水
沭	水木丶丶
秫	丿一木丶
殳	丿乛乛丶
菽	草丨一
腧	月人一月
毹	人一丿一
摅	手丨一
婌	未知
鄃	未知
隃	未知
陎	未知
刷	乛一丨丨
耍	一丿乛丿
唰	口乛一丿
帅	丨丿丨乛
摔	手丶一
甩	丿乛一一
衰	丶一丨乛
蟀	丨乛丶一
栓	木人一一
拴	手人一
涮	水乛一丿
闩	丶丨一一
腨	未知
双	乛丶乛丶
爽	一丿丿丶
霜	一丶木丨
孀	乛丿一丶
鹴	未知
骦	未知
礵	未知
水	水水
睡	丨乛丿一
税	丿一丶丿
帨	未知
说	丶乛丶丿
顺	丿丨一丿
瞬	丨乛丿丶
吮	口乛丶丿
舜	丿丶丿乛
楯	未知
烁	丶丿丿乛
硕	一丿一丿
朔	丶丿月月
铄	金丿乛
槊	丶丿木木
搠	手丶丿
妁	乛丿丿乛
蒴	草丶丿
死	一丿丿乛
四	丨乛丿乛
思	丨乛丶乛
斯	一丨丿丿
司	乛一口口
丝	乛乛一一
私	丿一乛丶
寺	土一丨
撕	手一丨
肆	一丨乛一
嘶	口一丨丨
厮	一丿一丨
祀	丶乛乛一
嗣	口丨乛一
饲	丿乛乛一
巳	乛一乛乛
泗	水丨乛丿
咝	口乛乛乛
姒	乛丿乛丶
汜	水乛一乛
驷	乛乛丨乛
鸶	乛乛丿乛
兕	丨乛丿乛
涘	未知
缌	乛乛丨乛
蛳	丨乛丨丿
澌	水一丨丨
锶	金丨乛
笥	丿一乛一
耜	一一丨乛
飔	未知
凘	未知
虒	未知
㟃	未知
楒	未知
送	丶丿丶乛
松	木丿丶乛
宋	丶丶木木
耸	人丿一丨
诵	丶乛乛丶
怂	人丿丶乛
颂	丿丶一丿
嵩	丨乛丶一
悚	丶丶一丨
讼	丶乛丿丶
忪	丶丶丿丶
淞	水木丿丶
崧	丨乛木丿
竦	丶一一丨
凇	丶一木丿
菘	草木丿
娀	未知
㧐	未知
搜	手丿丨
艘	丿丿丿丨
嗽	口一丨乛
嗖	口丿丨一
叟	丿丨乛丶
飕	丿乛丿丨
擞	手丶丿
馊	丿乛丿丨
薮	草丶丿
廋	未知
溲	水丿丨一
嗾	口丶一乛
锼	金丿丨
瞍	丨乛丿丨
蒐	未知
螋	丨乛丿丨
诉	丶乛丿丿
速	一丨丶乛
苏	草乛丿
素	一一乛乛
宿	丶丶人一
俗	人丿丶丿
肃	乛一一丨
塑	丶丿土
酥	一丨丿一
簌	丿一一丨
粟	一丨丶丿
稣	丿乛丿一
溯	水丶丿一
愫	丶丶一一
夙	丿乛一丿
谡	丶乛丨乛
窣	未知
蔌	草一丨
涑	水一丨乛
嗉	口一一丨
僳	人一丨乛
觫	丿乛一丨
骕	未知
甦	未知
鹔	未知
傃	未知
蹜	未知
缩	乛乛丶丶
算	丿一丨乛
酸	一丨乛丶
蒜	草一一
狻	丿乛乛丶
虽	口丨乛一
随	乛丨一丿
岁	丨乛丿乛
碎	一丿丶一
遂	丶丿丶乛
隋	乛丨一丿
髓	丨乛一丿
祟	乛丨一一
穗	丿一一丨
邃	丶丶丶乛
隧	乛丨丶丿
绥	乛乛丿丶
燧	丶丿丶丿
睢	丨乛人丶
眭	丨乛土
荽	草丿丶
谇	丶乛丶一
濉	水丨乛一
穟	未知
璲	未知
襚	未知
旞	未知
孙	乛丨丨丿
损	手口
笋	丿一乛一
隼	人丶十
荪	草乛丨
狲	丿乛乛丨
榫	木人丶
飧	丿乛人丶
所	丿丿丿丿
索	十乛乛
锁	金丨丶
嗦	口十丶
梭	木乛丶丿
琐	一一丨丶
唆	口乛丶丿
娑	水丨乛丿
蓑	草丶一
桫	木水丨丿
唢	口丨丶丿
睃	丨乛乛丶
嗍	口丶丿一
羧	丶丿乛丶
溹	未知
他	人乛丨乛
她	乛丿乛丨
它	丶丶丿乛
塔	土草
踏	口丨水
拓	手一丿
塌	土日
榻	木日乛
蹋	口丨日
遢	日丶乛
挞	手一丿
趿	口丨丿乛
獭	丿乛一丨
闼	丶丨一丿
鳎	丿乛日
铊	金丶丶
溻	水日乛
阘	未知
褟	未知
鞳	未知
太	一丿丶丶
台	乛丶口口
态	一丿丶乛
抬	手乛丶
泰	一一水丶
胎	月乛丶口
汰	水一丿丶
苔	草乛丶
跆	口丨乛丶
钛	金一丿
邰	乛丶乛丨
薹	草士
肽	月一丿丶
炱	乛丶丶丿
酞	一丨一丿
鲐	丿乛乛丶
谈	丶乛丶丿
叹	口乛丶丶
探	手丶乛
坦	土日
贪	人丶贝
坛	土一一
摊	手乛丶
滩	水乛丶人
谭	丶乛一丨
潭	水一丨乛
瘫	丶一乛丶
毯	丿一丶丿
炭	丨乛一丿
忐	丨一丶乛
檀	木丶一丨
痰	丶一丶丿
碳	一丿丨乛
袒	丶乛日
昙	日一一
坍	土丿乛
郯	丶丿乛丨
倓	未知
锬	金丶丿
钽	金日
璮	未知
惔	未知
菼	未知
榃	未知
磹	未知
堂	丨丶土
唐	丶一乛一
躺	丿丨丨丶
汤	水乛丿丿
趟	土丨丶
糖	丶丿丶一
烫	水乛丶丿
膛	月丨丶丿
倘	人丨丶丿
淌	水丨丶丿
棠	丨丶木木
塘	土丶一
搪	手丶一
螳	丨乛丨丶
傥	人丨丶丿
瑭	一一丶一
镗	金丨丶
帑	乛丿丨乛
樘	木丨丶丿
蹚	未知
嘡	未知
溏	水丶一丿
螗	丨乛丶一
羰	丶丿丨乛
镋	金丨丶
耥	一一丨丶
埫	未知
铴	金水乛
䣘	未知
鄌	未知
逃	丿丶丶乛
讨	丶乛一丨
套	一丿一丨
桃	木丿丶一
涛	水一一一
掏	手丿乛
陶	乛丨丿乛
滔	水丿丶丶
萄	草丿乛
淘	水丿乛丿
韬	一一丿丶
焘	一一丶丶
啕	口丿乛丿
饕	口一人丶
绦	乛乛丿乛
洮	水丿丶一
梼	未知
绹	乛乛丿乛
弢	未知
鼗	丿丶士
慆	未知
特	丿一土
忑	一丨丶乛
慝	一一丶乛
铽	金一丶
忒	一丶乛丶
疼	丶一丿乛
腾	月丶丿一
藤	草月丶
滕	月丶丿一
誊	丶丿丶一
螣	未知
縢	未知
熥	未知
䲢	未知
题	日一丿
体	人一丨丿
替	一一日
踢	口丨日
梯	木丶丿乛
蹄	口丨丶一
惕	丶丶日
涕	水丶丿乛
啼	口丶一丶
剔	日丨丨
屉	乛一一丨
剃	丶丿丨丨
嚏	口十丶
倜	人丿乛
缇	乛乛日
逖	丿乛丶乛
荑	草一乛
醍	一丨日
悌	丶丶丶丿
鹈	丶丿丿乛
绨	乛乛丶丿
锑	金丶丿
裼	丶乛日
趯	未知
遆	未知
鳀	丿乛日
擿	未知
䏲	未知
䴘	未知
瑅	未知
天	一一丿丶
田	丨乛一丨
甜	丿一一丨
添	水一一丿
填	土十
舔	丿一一一
恬	丶丶丿一
腆	月丨乛一
阗	丶丨十
殄	一丿人丿
忝	一一丨丶
湉	未知
畋	丨乛丿一
瑱	未知
掭	手一一
盷	未知
淟	未知
晪	未知
沺	未知
黇	未知
条	丿乛木木
跳	口丨丿丶
挑	手丿丶
眺	丨乛丿丶
迢	乛丿丶乛
窕	丶丶丿丶
佻	人丿丶一
笤	丿一乛丿
祧	丶乛丿丶
髫	一丨丿丨
粜	乛丨丶丿
龆	丨一乛丿
蜩	丨乛丿乛
鲦	丿乛丿乛
朓	未知
嬥	未知
铁	金丿一
贴	贝丨一
帖	丨乛丨一
餮	一丿人丶
萜	草丨乛
听	口丿丿一
停	人丶一丨
厅	一丿一丨
挺	手丿一
庭	丶一丿一
廷	丿一乛丶
婷	乛丿丶一
亭	丶一一丨
艇	丿丿丿一
霆	一丶丿一
汀	水一丨丨
蜓	丨乛丿一
铤	金丿一
葶	草丶一
莛	草丿一
珽	未知
梃	木丿一丨
烃	丶丿乛丶
渟	未知
颋	未知
桯	未知
侹	未知
䗴	未知
圢	未知
烶	未知
同	丨乛一口
通	乛丶丶乛
痛	丶一乛丶
统	乛乛丶一
童	丶一丨乛
铜	金丨乛
筒	丿一丨乛
桶	木乛丶丨
捅	手乛丶
瞳	丨乛丶一
桐	木丨乛一
佟	人丿乛丶
彤	丿乛丿丿
恸	丶丶一一
潼	水丶一丶
嗵	口乛丶丨
僮	人丶一丶
酮	一丨丨乛
仝	人一丨一
茼	草丨乛
曈	未知
砼	一丿人一
烔	未知
橦	未知
哃	未知
穜	未知
鲖	丿乛丨乛
㛚	未知
峂	未知
头	丶丶一丿
投	手丿乛
偷	人人一月
透	丿一丶乛
骰	丨乛丿乛
突	丶丶一丿
图	丨乛丿乛
土	土土
徒	丿丿土
吐	口土土
途	人一丶乛
涂	水人一一
屠	乛一十
兔	丿乛丨乛
秃	丿一丿乛
凸	丨一丨乛
荼	草人一
菟	草丿乛
钍	金土
堍	土丿乛
酴	一丨人一
稌	未知
腯	未知
葖	未知
